Script,Pencils,Cover,Inks,Colors,Letters
Frank Miller (35.74),Frank Miller (17.85),Klaus Janson (19.0),Klaus Janson (19.0),Lynn Varley (17.85),Richard Starkings (36.78)
Jeph Loeb (24.11),David Mazzucchelli (17.62),David Mazzucchelli (17.62),David Mazzucchelli (17.62),Richmond Lewis (17.83),John Costanza (31.56)
Grant Morrison (14.41),Tim Sale (17.5),Tim Sale (16.69),Tim Sale (17.5),Gregory Wright (14.36),Todd Klein (23.44)
Alan Moore (13.48),Brian Bolland (13.48),Brian Bolland (13.48),Brian Bolland (13.48),John Higgins (13.48),Gaspar Saladino (10.21)
Scott Snyder (10.54),Dave McKean (10.21),Dave McKean (10.21),Dave McKean (10.21),Dave McKean (10.21),Rob Leigh (6.87)
Jim Starlin (9.41),Jim Lee (7.36),Jim Lee (6.61),Scott Williams (7.08),Alex Sinclair (8.38),Richard Starkings/Jimmy Betancourt/Comicraft (5.11)
Ed Brubaker (3.93),Jim Aparo/Mike Mignola/Mike DeCarlo (5.8),Jim Aparo (5.8),Jim Aparo/Mike Mignola (5.8),Adrienne Roy/Anthony Tollin (5.8),Todd Klein/Jared K. Fletcher/Sal Cipriano (4.4)
Dennis O'Neil (2.82),Greg Capullo (5.65),Greg Capullo (5.59),Greg Capullo/Jonathan Glapion (5.11),FCO Plascencia (5.65),John Workman (2.5)
Doug Moench (2.82),Jock/Francesco Francavilla (4.4),Kelley Jones/Bob LeRose/Sam Kieth (4.62),Jock/Francesco Francavilla (4.4),David Baron/Francesco Francavilla (4.4),Jared K. Fletcher/John Workman (1.91)
Brian Augustyn (2.5),Tim Sale/Doug Mahnke/Patrick Zircher (3.93),Jock/Francesco Francavilla (4.4),Bernie Wrightson (3.6),David Baron (3.93),Ken Lopez (1.84)
