Name,Full name,Creator
3-D Man,Charles Chandler,Marvel
Absorbing Man,Carl Creel,Marvel
Animal Man,Bernhard Baker,DC
Beak,Barnell Bohusk,Marvel
Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),Marvel
Big Man,Frederick Foswell,Marvel
Bird-Man,Henry Hawk,Marvel
Birdman,Ray Randal,Hanna-Barbera
Black Bolt,Blackagar Boltagon,Marvel
Black Canary,Dinah Drake Lance,DC
Black Canary,Dinah Laurel Lance,DC
Captain Britain,Brian Braddock,Marvel
Cyborg Superman,Henry Henshaw,DC
Cyclops,Scott Summers,Marvel
Daredevil,Matthew Michael Murdock,Marvel
Deadman,Boston Brand,DC
Deadpool,Wade Winston Wilson,Marvel
Doctor Octopus,Otto Octavius,Marvel
Doctor Strange,Stephen Vincent Strange,Marvel
Fighting Spirit,Carol Carter,DC
Firestorm,Ronald Raymond,DC
Green Lantern,Guy Darrin Gardner,DC
Hawk,Henry Hall,DC
Hit-Girl,Mindy McCready,Icon Comics
Hulk,Robert Bruce Banner,Marvel
Invisible Woman,Susan Storm Richards,Marvel
Kid Flash,Wallace Rudolph West,DC
Leader,Samuel Sterns,Marvel
Lizard,Curtis Connors,Marvel
Loki,Loki Laufeyson,Marvel
Man-Wolf,John Jameson,Marvel
Martian Manhunter,J'onn J'onzz,DC
Master Brood,Currently Colin Wood,Team Epic TV
Miss Martian,M'gann M'orzz,DC
Mister Fantastic,Reed Richards,Marvel
Mister Mxyzptlk,Mr. Mxyzptlk,DC
Moses Magnum,Moses Magnum,Marvel
Namora,Aquaria Nautica Neptunia,Marvel
Nova,Richard Rider,Marvel
Ozymandias,Adrian Alexander Veidt,DC
Penguin,Oswald Chesterfield Cobblepot,DC
Peter Petrelli,Peter Petrelli,NBC - Heroes
Plastique,Bette Sans Souci,DC
Raven,Rachel Roth,DC
Rick Flag,Richard Rogers Flag,DC
Rocket Raccoon,Rocket Raccoon,Marvel
Sebastian Shaw,Sebastian Hiram Shaw,Marvel
Sentry,Robert Reynolds,Marvel
Spider-Man,Peter Benjamin Parker,Marvel
Sylar,Gabriel Gray,NBC - Heroes
Tigra,Greer Grant Nelson,Marvel
Trickster,Giovanni Giuseppe,DC
Vindicator,Heather McNeil Hudson,Marvel
Vixen,Mari Jiwe McCabe,DC
War Machine,James Rupert Rhodes,Marvel
Winter Soldier,James Buchanan Barnes,Marvel
Wyatt Wingfoot,Wyatt Wingfoot,Marvel
Zatanna,Zatanna Zatara,DC
Beast Boy,Garfield Mark Logan,DC
Bi-Beast,-,Marvel
Big Barda,Barda Free,DC
Bird-Brain,-,Marvel
Blue Beetle,Daniel Garrett,DC
Blue Beetle,-,DC
Boom-Boom,Tabitha Smith,Marvel
Captain Cold,Leonard Snart,DC
Crimson Crusader,Rory Destine,Marvel
Doctor Doom,Victor von Doom,Marvel
Drax the Destroyer,Arthur Sampson Douglas,Marvel
Fin Fang Foom,-,Marvel
Gorilla Grodd,Grodd,DC
Granny Goodness,-,DC
Green Goblin,Norman Virgil Osborn,Marvel
Jack-Jack,Jac-jack Parr,Dark Horse Comics
Jar Jar Binks,-,George Lucas
Jessica Jones,Jessica Campbell Jones Cage,Marvel
Karate Kid,-,DC
Lex Luthor,Alexander 'Lex' Joseph Luthor,DC
Light Lass,Ayla Ranzz,DC
Lightning Lad,Garth Ranzz,DC
Lightning Lord,Mekt Ranzz,DC
Machine Man,"X-51, Aaron Stack",Marvel
Man of Miracles,-,Image Comics
Minna Murray,Wilhelmina Harker,Wildstorm
Molecule Man,-,Marvel
Molten Man,Mark Raxton,Marvel
Multiple Man,James Arthur,Marvel
One-Above-All,-,Marvel
Red Robin,Timothy Jackson Drake,DC
Scarlet Spider,Benjamin Reilly,Marvel
Silk Spectre,Sally Juspeczyk,DC
Silver Surfer,Norrin Radd,Marvel
Wonder Woman,Diana of Themyscira,DC
